# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-917 b,Confirmed,,,,,,,0.17,0.015,0.021,2.97041437,9.13E-06,9.13E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-917,299.05126,47.949284,,,14.553,14.077,14.005,1027,,,-0.38,0.186,0.211,0.8,0.05,0.07,0.76,0.06,0.09,,,,,5418,70.72,120.33,,,
Kepler-1187 b,Confirmed,,,,,,,0.233,0.025,0.045,18.87064068,6.00E-05,6.00E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1187,286.892005,38.318556,,,13.507,13.155,13.151,1029,,,-0.01,0.171,0.147,1.06,0.07,0.09,1.09,0.12,0.21,,,,,5975,129.11,182.7,,,
Kepler-1504 b,Confirmed,,,,,,,0.19,0.017,0.021,82.304003,0.001593,0.001593,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1504,289.711993,50.128212,,,14.409,13.998,13.834,1029,,,-0.17,0.204,0.18,0.85,0.06,0.06,0.81,0.07,0.08,,,,,5393,78.86,102.27,,,
Kepler-643 b,Confirmed,,,,,,,0.906,0.024,0.031,16.33889626,1.83E-05,1.83E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-643,290.327325,42.898281,,,12.212,11.672,11.583,1029,,,0.13,0.111,0.078,1,0.04,0.07,2.52,0.07,0.08,,,,,4908,47.77,45.26,,,
Kepler-799 b,Confirmed,,,,,,,0.614,0.051,0.076,133.4605235,0.000253,0.000253,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-799,287.174894,44.878571,,,13.969,13.601,13.524,1029,,,-0.07,0.19,0.158,0.95,0.06,0.05,0.93,0.07,0.12,,,,,5681,90.98,116.48,,,
Kepler-939 b,Confirmed,,,,,,,0.156,0.018,0.028,14.878296,0.0001256,0.0001256,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-939,293.865613,47.026829,,,14.28,13.861,13.762,1029,,,-0.12,0.201,0.165,0.88,0.06,0.06,0.85,0.07,0.09,,,,,5471,105.85,149.7,,,
Kepler-663 b,Confirmed,,,,,,,0.232,0.014,0.018,4.99678284,1.45E-05,1.45E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-663,297.808262,47.946671,,,14.448,14.018,13.903,1030,,,0.03,0.165,0.147,0.86,0.04,0.04,0.82,0.04,0.06,,,,,5264,127.67,90.56,,,
Kepler-91 b,Confirmed,0.73,0.13,0.13,,,,1.384,0.054,0.011,6.24658,8.20E-05,8.20E-05,0.072,0.007,0.002,0.066,0.017,0.013,68.5,1.6,1,,2013,15/08/2014,316.8,74,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-91,285.6708333,44.11666667,12.9,,,,,1030,130,150,0.11,0.07,0.07,1.31,0.1,0.1,6.3,0.16,0.16,,4.86,2.13,2.13,4550,75,75,,,
Kepler-1348 b,Confirmed,,,,,,,0.173,0.021,0.038,27.5722742,0.000228,0.000228,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1348,292.08746,49.788765,,,13.618,13.297,13.242,1033,,,-0.01,0.193,0.147,1.04,0.07,0.07,1.04,0.1,0.23,,,,,5911,101.96,102.08,,,
Kepler-592 b,Confirmed,,,,,,,0.213,0.022,0.052,2.82019241,3.79E-06,3.79E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-592,285.790685,48.683262,,,13.626,13.3,13.219,1034,,,-0.03,0.193,0.144,1.04,0.07,0.06,1.04,0.1,0.25,,,,,5913,74.23,83.3,,,
Kepler-944 b,Confirmed,,,,,,,0.235,0.019,0.024,43.3167737,0.0002351,0.0002351,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-944,293.601262,42.379761,,,14.364,13.96,13.851,1035,,,-0.11,0.183,0.161,0.86,0.06,0.05,0.83,0.06,0.08,,,,,5409,133.24,108.67,,,
Kepler-781 b,Confirmed,,,,,,,0.258,0.021,0.044,13.2140732,3.58E-05,3.58E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-781,287.653619,47.414811,,,14.598,14.125,14.049,1036,,,-0.1,0.199,0.151,0.81,0.05,0.04,0.78,0.06,0.04,,,,,5162,64.49,64.88,,,
Kepler-899 b,Confirmed,,,,,,,0.239,0.023,0.041,19.17891293,8.08E-05,8.08E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-899,297.48258,40.68078,,,14.113,13.725,13.615,1038,,,-0.06,0.178,0.158,0.93,0.07,0.08,0.91,0.09,0.15,,,,,5595,192.07,270.58,,,
Kepler-857 b,Confirmed,,,,,,,0.607,0.061,0.152,85.35129427,9.56E-05,9.56E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-857,294.632389,43.400467,,,13.847,13.499,13.403,1039,,,0.02,0.175,0.125,0.99,0.07,0.07,0.99,0.1,0.25,,,,,5773,173.8,125.46,,,
Kepler-1070 b,Confirmed,,,,,,,0.154,0.022,0.072,6.2216147,1.94E-05,1.94E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1070,293.195374,49.316502,,,12.956,12.701,12.681,1040,,,0.03,0.175,0.132,1.21,0.1,0.2,1.32,0.19,0.61,,,,,6261,114.36,114.14,,,
Kepler-1260 b,Confirmed,,,,,,,0.158,0.025,0.045,19.1187753,0.0001687,0.0001687,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1260,295.591254,42.555241,,,13.603,13.28,13.183,1041,,,0.01,0.183,0.136,1.06,0.08,0.09,1.08,0.14,0.3,,,,,5961,192.48,131.56,,,
Kepler-565 b,Confirmed,,,,,,,0.325,0.024,0.045,4.24374723,2.93E-06,2.93E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-565,283.617946,47.196686,,,13.899,13.52,13.492,1041,,,-0.02,0.173,0.14,0.98,0.06,0.04,0.95,0.07,0.13,,,,,5735,75.3,80.65,,,
Kepler-855 b,Confirmed,,,,,,,0.745,0.072,0.152,7.8866311,2.47E-06,2.47E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-855,295.09499,43.537586,,,13.737,13.403,13.338,1043,,,0.06,0.158,0.146,1.03,0.07,0.07,1.03,0.1,0.21,,,,,5835,156.07,99.82,,,
Kepler-501 b,Confirmed,,,,,,,0.384,0.041,0.062,5.64067757,3.78E-06,3.78E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-501,297.201554,41.730206,,,13.66,13.272,13.34,1044,,,-0.03,0.171,0.14,1.03,0.06,0.08,1.04,0.1,0.17,,,,,5904,126.78,207.83,,,
Kepler-689 b,Confirmed,,,,,,,0.258,0.021,0.031,22.36656079,9.81E-05,9.81E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-689,294.710624,39.521744,,,14.236,13.849,13.714,1044,,,-0.01,0.184,0.144,0.91,0.06,0.05,0.88,0.07,0.1,,,,,5518,162.69,122.7,,,
Kepler-1334 b,Confirmed,,,,,,,0.204,0.016,0.028,15.64591713,7.27E-05,7.27E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1334,289.31148,51.320866,,,14.052,13.671,13.626,1047,,,-0.03,0.175,0.139,0.94,0.05,0.04,0.91,0.06,0.12,,,,,5614,87.5,91.79,,,
Kepler-800 b,Confirmed,,,,,,,0.254,0.023,0.03,14.13176026,4.27E-05,4.27E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-800,286.574823,44.795204,,,14.446,14.042,13.916,1049,,,-0.09,0.18,0.158,0.85,0.05,0.04,0.82,0.06,0.06,,,,,5315,67.05,60.48,,,
Kepler-1054 b,Confirmed,,,,,,,0.235,0.047,0.103,4.30655689,1.43E-05,1.43E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1054,290.601152,44.556385,,,13.007,12.762,12.693,1050,,,0.09,0.138,0.143,1.22,0.1,0.18,1.34,0.2,0.58,,,,,6209,147.02,106.61,,,
Kepler-1569 b,Confirmed,,,,,,,0.15,0.028,0.065,5.79180156,3.62E-05,3.62E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1569,292.204706,37.22122,,,12.888,12.604,12.59,1050,,,0.06,0.139,0.132,1.25,0.13,0.21,1.4,0.25,0.61,,,,,6319,219.91,179.66,,,
Kepler-1052 b,Confirmed,,,,,,,0.261,0.028,0.048,34.8538276,0.000126,0.000126,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1052,295.342731,46.602264,,,13.727,13.393,13.305,1051,,,0,0.175,0.15,1.03,0.07,0.08,1.03,0.11,0.19,,,,,5888,173.26,160.5,,,
Kepler-841 b,Confirmed,,,,,,,0.467,0.032,0.037,124.4198398,0.000331,0.000331,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-841,284.251306,48.809612,,,14.464,14.04,13.928,1052,,,-0.09,0.186,0.17,0.85,0.05,0.04,0.81,0.06,0.06,,,,,5324,58.03,58.08,,,
Kepler-704 b,Confirmed,,,,,,,0.233,0.038,0.054,3.76182115,1.16E-05,1.16E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-704,283.316391,41.83712,,,13.955,13.626,13.557,1054,,,0.09,0.135,0.142,0.97,0.05,0.04,0.96,0.08,0.22,,,,,5616,102.76,77.94,,,
Kepler-412 b,Confirmed,0.939,0.085,0.085,,,,1.325,0.043,0.043,1.720861232,4.70E-08,4.70E-08,0.02959,0.00078,0.00078,0.0038,0.0032,0.0087,80.89,0.2,0.2,,2014,21/05/2014,125,150,49,,,,,,,2454966.021,2.30E-05,2.30E-05,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-412,286.1083333,43.68083336,13.73,,,,,1056,0.036,0.036,0.27,0.12,0.12,1.167,0.091,0.091,1.287,0.035,0.035,G3V,5.1,1.7,1.7,5750,90,90,,,
Kepler-1354 b,Confirmed,,,,,,,0.265,0.045,0.109,76.613377,0.0007773,0.0007773,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1354,291.245187,37.759052,,,13.252,12.965,12.858,1057,,,0.03,0.156,0.133,1.16,0.11,0.16,1.24,0.19,0.49,,,,,6168,202.44,136.72,,,
Kepler-1289 b,Confirmed,,,,,,,0.136,0.021,0.044,7.99019627,5.08E-05,5.08E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1289,296.388807,41.040571,,,13.439,13.109,13.043,1059,,,0.02,0.153,0.134,1.1,0.1,0.17,1.17,0.18,0.37,,,,,6080,268.17,245.65,,,
Kepler-1471 b,Confirmed,,,,,,,0.126,0.012,0.018,3.63899398,2.00E-05,2.00E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1471,289.664878,50.020046,,,14.037,13.69,13.604,1059,,,-0.03,0.188,0.143,0.95,0.06,0.05,0.93,0.07,0.14,,,,,5660,104.98,86.53,,,
Kepler-1494 b,Confirmed,,,,,,,0.274,0.051,0.041,91.080482,0.001769,0.001769,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1494,282.657401,43.162518,,,14.01,13.7,13.536,1059,,,0.01,0.182,0.15,0.96,0.06,0.05,0.94,0.07,0.13,,,,,5659,107.31,86.94,,,
Kepler-816 b,Confirmed,,,,,,,0.914,0.048,0.061,10.50682565,3.82E-06,3.82E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-816,293.362842,39.212452,,,14.426,14.045,13.892,1059,,,0.16,0.185,0.16,0.9,0.04,0.04,0.85,0.04,0.06,,,,,5286,88.41,54.61,,,
Kepler-1556 b,Confirmed,,,,,,,0.175,0.013,0.036,8.82713457,4.03E-05,4.03E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1556,288.397002,40.2132,,,13.998,13.695,13.555,1060,,,0.08,0.156,0.156,0.97,0.05,0.05,0.95,0.07,0.19,,,,,5608,91.9,69.12,,,
Kepler-700 b,Confirmed,,,,,,,0.534,0.045,0.081,80.8720639,0.0001727,0.0001727,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-700,287.1543,41.565788,,,13.935,13.585,13.569,1061,,,0.04,0.153,0.135,0.98,0.05,0.04,0.96,0.07,0.15,,,,,5692,115.63,77.65,,,
Kepler-1610 b,Confirmed,,,,,,,0.144,0.012,0.017,8.70181574,8.32E-05,8.32E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1610,295.90501,45.405434,,,14.307,13.912,13.905,1063,,,0.1,0.145,0.154,0.91,0.04,0.04,0.87,0.04,0.09,,,,,5383,82.73,61.72,,,
Kepler-1415 b,Confirmed,,,,,,,0.115,0.007,0.011,0.63642408,1.60E-06,1.60E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1415,285.156913,47.873333,,,14.39,13.972,13.951,1066,,,0.12,0.148,0.145,0.89,0.04,0.04,0.84,0.04,0.06,,,,,5267,59.06,55.51,,,
Kepler-684 b,Confirmed,,,,,,,0.3,0.027,0.027,6.77030201,8.86E-06,8.86E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-684,290.870517,38.273635,,,14.318,13.91,13.828,1066,,,-0.11,0.194,0.161,0.89,0.06,0.06,0.86,0.07,0.08,,,,,5493,118.74,123.67,,,
KOI-368.01,Confirmed,,,,,,,1.83,0.02,0.02,110.3216,5.00E-05,5.00E-05,0.581,,,,,,89.221,0.013,0.013,,2014,04/04/2014,,,,,,,,,,2454987.043,0.00046,0.00046,,,,10,2,2,,,,,,,,,,754,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,KOI-368,290.8541667,42.08694445,11.3,,,,,1070,50,50,0.07,0.14,0.14,2.17,0.57,0.57,2.043,1.124,1.124,F6,,,,9257,,,,,
Kepler-497 b,Confirmed,,,,,,,0.539,0.059,0.141,3.57320367,9.10E-07,9.10E-07,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-497,290.765882,38.927952,,,13.6,13.287,13.21,1070,,,0.24,0.175,0.113,1.09,0.06,0.1,1.11,0.12,0.29,,,,,5834,141.15,110.98,,,
Kepler-874 b,Confirmed,,,,,,,0.352,0.053,0.095,40.0686727,0.0001013,0.0001013,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-874,294.95686,43.014328,,,13.543,13.223,13.14,1072,,,0.03,0.17,0.14,1.09,0.09,0.12,1.13,0.15,0.31,,,,,6020,210.62,155.87,,,
Kepler-752 b,Confirmed,,,,,,,0.251,0.019,0.023,18.82747265,8.81E-05,8.81E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-752,292.268128,37.955654,,,14.459,14.014,13.939,1075,,,-0.08,0.174,0.164,0.87,0.06,0.05,0.83,0.06,0.07,,,,,5373,107.25,161.73,,,
Kepler-1065 b,Confirmed,,,,,,,0.333,0.032,0.057,3.60930891,5.10E-06,5.10E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1065,294.511258,38.790501,,,14.178,13.802,13.671,1078,,,-0.01,0.178,0.138,0.94,0.06,0.07,0.93,0.09,0.16,,,,,5635,202.38,166.04,,,
Kepler-1065 c,Confirmed,,,,,,,0.143,0.015,0.021,2.37030743,1.69E-05,1.69E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1065,294.511258,38.790501,,,14.178,13.802,13.671,1078,,,-0.01,0.178,0.138,0.94,0.06,0.07,0.93,0.09,0.16,,,,,5635,202.38,166.04,,,
Kepler-1236 b,Confirmed,,,,,,,0.191,0.02,0.016,31.0571618,0.0002508,0.0002508,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1236,295.624706,42.545898,,,14.551,14.098,14.018,1078,,,-0.09,0.174,0.154,0.86,0.05,0.05,0.82,0.05,0.07,,,,,5337,154.2,155.96,,,
Kepler-1004 b,Confirmed,,,,,,,0.56,0.039,0.07,5.28789787,1.20E-05,1.20E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1004,297.359299,49.79755,,,11.7,11.155,11.06,1080,,,-0.04,0.031,0.023,1.11,0.12,0.18,3.39,0.22,0.28,,,,,4972,39.52,52.3,,,
Kepler-1165 b,Confirmed,,,,,,,0.138,0.017,0.045,9.478522,5.91E-05,5.91E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1165,286.971267,44.708302,,,13.362,13.08,13.07,1081,,,0.05,0.155,0.135,1.13,0.08,0.12,1.18,0.14,0.39,,,,,6080,115.97,97.21,,,
Kepler-1257 b,Confirmed,,,,,,,0.136,0.011,0.016,2.66831376,9.86E-06,9.86E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1257,296.075676,45.627056,,,14.289,13.851,13.848,1081,,,-0.09,0.177,0.147,0.9,0.05,0.06,0.87,0.07,0.1,,,,,5502,93.92,168.32,,,
Kepler-596 b,Confirmed,,,,,,,0.309,0.042,0.145,21.30022655,4.19E-05,4.19E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-596,289.500676,51.68573,,,13.074,12.812,12.715,1083,,,0.03,0.153,0.129,1.21,0.1,0.19,1.32,0.18,0.62,,,,,6267,108.73,109.7,,,
Kepler-1635 b,Confirmed,,,,,,,0.325,0.06,0.029,469.63111,0.01246,0.01246,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1635,285.348993,45.556183,,,14.345,13.997,13.895,1084,,,0.06,0.158,0.161,0.89,0.04,0.04,0.85,0.04,0.08,,,,,5347,53.97,51.14,,,
Kepler-798 b,Confirmed,,,,,,,0.213,0.03,0.093,13.71933369,5.73E-05,5.73E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-798,292.478209,42.142291,,,13.144,12.87,12.838,1085,,,0.03,0.155,0.128,1.19,0.09,0.18,1.29,0.18,0.56,,,,,6224,142.87,124.3,,,
Kepler-1281 b,Confirmed,,,,,,,0.146,0.012,0.012,3.11602791,1.30E-05,1.30E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1281,295.354457,48.515404,,,14.477,14.094,13.929,1090,,,-0.04,0.175,0.169,0.87,0.05,0.04,0.83,0.05,0.06,,,,,5353,93.58,86.5,,,
Kepler-1591 b,Confirmed,,,,,,,0.113,0.017,0.037,8.18504949,7.83E-05,7.83E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1591,296.516659,44.608608,,,13.509,13.198,13.107,1090,,,0.01,0.175,0.136,1.1,0.1,0.13,1.16,0.17,0.36,,,,,6082,232.08,168.06,,,
Kepler-894 b,Confirmed,,,,,,,0.248,0.03,0.027,9.803224,3.03E-05,3.03E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-894,288.734088,46.939396,,,14.33,13.911,13.84,1090,,,-0.25,0.202,0.185,0.87,0.07,0.06,0.85,0.08,0.09,,,,,5603,60.71,83.94,,,
Kepler-697 b,Confirmed,,,,,,,0.368,0.028,0.049,3.70987065,3.05E-06,3.05E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-697,283.86439,41.346458,,,14.306,13.934,13.785,1091,,,-0.01,0.19,0.137,0.92,0.06,0.05,0.88,0.07,0.12,,,,,5513,134.25,113.01,,,
Kepler-1247 b,Confirmed,,,,,,,0.208,0.014,0.019,13.71220213,6.36E-05,6.36E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1247,294.533553,46.618271,,,14.534,14.069,14.069,1094,,,-0.05,0.156,0.141,0.86,0.05,0.04,0.82,0.05,0.06,,,,,5303,112.59,116.55,,,
Kepler-1487 b,Confirmed,,,,,,,0.19,0.04,0.076,7.31946363,4.68E-05,4.68E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1487,295.498108,38.644501,,,12.556,12.311,12.289,1094,,,0.04,0.153,0.131,1.38,0.16,0.21,1.63,0.32,0.65,,,,,6541,190.33,230.55,,,
Kepler-1484 b,Confirmed,,,,,,,0.188,0.02,0.027,30.4549136,0.0003536,0.0003536,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1484,292.684285,38.126286,,,14.135,13.765,13.646,1095,,,-0.17,0.212,0.181,0.94,0.07,0.08,0.92,0.09,0.13,,,,,5730,127.9,204.01,,,
Kepler-1077 b,Confirmed,,,,,,,0.247,0.029,0.062,34.3511874,0.0001503,0.0001503,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1077,291.033636,42.26786,,,13.83,13.481,13.496,1098,,,0.03,0.16,0.126,1.02,0.05,0.06,1.02,0.09,0.23,,,,,5816,113.54,99.93,,,
Kepler-996 b,Confirmed,,,,,,,0.177,0.022,0.056,3.77059058,8.06E-06,8.06E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-996,291.912789,41.533611,,,13.546,13.246,13.171,1098,,,0.03,0.155,0.131,1.09,0.08,0.09,1.14,0.14,0.36,,,,,6014,152.18,114.4,,,
